# its    calls        xs           dxs    pcerror    acc    eff    rchsq nits
 100    8294400  6.4352210e4  1.01e2    0.16    4.50    0.00    1.32 100
 100    8294400  5.4967651e4  9.42e1    0.17    4.94    0.00    1.42 100
 100    8294400  4.7801849e4  8.03e1    0.17    4.84    0.00    1.58 100
 100    8294400  4.2403161e4  8.21e1    0.19    5.58    0.00    1.43 100
 100    8294400  3.7893333e4  7.22e1    0.19    5.49    0.00    1.31 100
 100    8294400  3.4381569e4  7.54e1    0.22    6.32    0.00    1.26 100
 100    8294400  3.1308092e4  6.86e1    0.22    6.31    0.00    1.09 100
 100    8294400  2.8608391e4  6.19e1    0.22    6.23    0.00    1.27 100
 100    8294400  2.6214310e4  6.05e1    0.23    6.64    0.00    1.56 100
 100    8294400  2.4248213e4  4.85e1    0.20    5.76    0.00    1.54 100
 100    8294400  2.2674253e4  5.45e1    0.24    6.92    0.00    1.31 100
 100    8294400  2.1215929e4  5.67e1    0.27    7.69    0.00    1.44 100
 100    8294400  1.9787868e4  4.81e1    0.24    7.01    0.00    1.56 100
 100    8294400  1.8570720e4  4.53e1    0.24    7.02    0.00    1.11 100
 100    8294400  1.7517653e4  4.52e1    0.26    7.43    0.00    1.13 100
 100    8294400  1.6652412e4  4.86e1    0.29    8.41    0.00    1.11 100
 100    8294400  1.5477422e4  3.40e1    0.22    6.33    0.00    1.59 100
 100    8294400  1.4658975e4  3.63e1    0.25    7.13    0.00    1.55 100
 100    8294400  1.3926064e4  3.41e1    0.24    7.06    0.00    1.83 100
 100    8294400  1.3266713e4  3.27e1    0.25    7.10    0.00    1.45 100
 100    8294400  1.2676498e4  3.11e1    0.24    7.06    0.00    1.07 100
 100    8294400  1.2012306e4  3.03e1    0.25    7.26    0.00    1.38 100
 100    8294400  1.1474166e4  2.66e1    0.23    6.69    0.00    1.67 100
 100    8294400  1.0901623e4  2.52e1    0.23    6.66    0.00    2.01 100
 100    8294400  1.0472553e4  2.52e1    0.24    6.92    0.00    1.80 100
 100    8294400  1.0080156e4  2.72e1    0.27    7.77    0.00    1.57 100
 100    8294400  9.6355789e3  2.49e1    0.26    7.44    0.00    1.54 100
