# its    calls        xs           dxs    pcerror    acc    eff    rchsq nits 
 100    8294400  4.4612327e4  1.05e2    0.23    6.76    0.00    1.16 100
 100    8294400  3.8513452e4  9.70e1    0.25    7.25    0.00    1.33 100
 100    8294400  3.3996984e4  9.02e1    0.27    7.64    0.00    1.29 100
 100    8294400  3.0110136e4  7.30e1    0.24    6.98    0.00    1.41 100
 100    8294400  2.7234713e4  7.35e1    0.27    7.77    0.00    1.54 100
 100    8294400  2.4780489e4  7.21e1    0.29    8.38    0.00    1.34 100
 100    8294400  2.2594905e4  6.17e1    0.27    7.87    0.00    1.56 100
 100    8294400  2.0878057e4  6.00e1    0.29    8.27    0.00    1.37 100
 100    8294400  1.9056753e4  4.66e1    0.24    7.05    0.00    1.68 100
 100    8294400  1.7924468e4  5.55e1    0.31    8.91    0.00    1.72 100
 100    8294400  1.6752018e4  5.09e1    0.30    8.75    0.00    1.47 100
 100    8294400  1.5632248e4  4.85e1    0.31    8.94    0.00    1.53 100
 100    8294400  1.4608269e4  3.95e1    0.27    7.80    0.00    1.32 100
 100    8294400  1.3910583e4  4.73e1    0.34    9.79    0.00    1.73 100
 100    8294400  1.3150865e4  4.69e1    0.36   10.26    0.00    1.24 100
 100    8294400  1.2409612e4  4.35e1    0.35   10.09    0.00    1.38 100
 100    8294400  1.1715130e4  3.82e1    0.33    9.39    0.00    1.39 100
 100    8294400  1.1048769e4  3.36e1    0.30    8.76    0.00    1.67 100
 100    8294400  1.0535819e4  3.67e1    0.35   10.03    0.00    1.54 100
 100    8294400  1.0046651e4  3.46e1    0.34    9.92    0.00    1.60 100
 100    8294400  9.4758873e3  2.94e1    0.31    8.94    0.00    1.94 100
 100    8294400  9.1430026e3  3.11e1    0.34    9.80    0.00    1.22 100
 100    8294400  8.7486997e3  3.06e1    0.35   10.08    0.00    1.65 100
 100    8294400  8.3505077e3  2.67e1    0.32    9.22    0.00    1.34 100
 100    8294400  8.1304447e3  3.06e1    0.38   10.84    0.00    1.25 100
 100    8294400  7.7184831e3  2.67e1    0.35    9.97    0.00    1.08 100
 100    8294400  7.3598383e3  2.37e1    0.32    9.26    0.00    1.75 100
